name,index
AXL-Mediated Mesenchymal Programming,0
Aerobic glycolysis-dependent nutrient acquisition,1
Angiogenesis and Vascular Development,2
Angiogenesis and Vascular Remodeling,3
Angiogenesis and Vascular Signaling,4
Apoptosis Evasion and Drug Resistance,5
Apoptosis Resistance & Cell Survival Pathways,6
Apoptosis Resistance and Survival Signaling,7
Apoptosis regulation and cell death,8
Aquaporin-mediated osmotic water transport and migration,9
Axon Guidance & Cell Adhesion Dysregulation,10
Axon Guidance and Repulsive Signaling,11
Axon guidance and cell adhesion,12
Axonal Maintenance & Cytoskeletal Integrity,13
BMP-Mediated Developmental Signaling,14
CD44-mediated Invasive Adhesion,15
Cadherin-Mediated Cell Adhesion,16
Calcium Signaling Through Ion Channels,17
Calcium Signaling and Ion Homeostasis,18
Calcium Signaling and Neuronal Activity Coupling,19
Calcium-Mediated Proliferation and Survival,20
Calcium-dependent Cell Adhesion,21
Calcium-mediated cell migration,22
Cell Adhesion Molecule-Mediated Neural Development and Migration,23
Cell Adhesion and Synaptic-Like Junctions,24
Cell Migration and Invasion Machinery,25
Cell adhesion and synaptic protein scaffolding,26
Cell cycle progression and proliferation,27
Cell-Cell Adhesion and Migration Plasticity,28
Cellularity and Structural Organization,29
Cholinergic immune modulation,30
Ciliary Dysfunction and Motility Defects,31
Complement system activation and immune modulation,32
Cuproptosis and Metabolic Reprogramming,33
Cyclic Nucleotide Signaling and Cell Motility,34
Cytoskeletal Dynamics and Cell Motility,35
DNA Damage Response and Genomic Stability,36
DOCK protein-mediated immune synapse formation,37
Developmental transcriptional regulation and cell fate specification,38
EMT-Driven Invasion Program,39
EMT-Driven Invasive Dispersal,40
Endosomal Recycling and Receptor Trafficking,41
Epithelial-Mesenchymal Transition,42
Epithelial-Mesenchymal Transition and Invasion,43
Extracellular Matrix Composition and Immunomodulation,44
Extracellular Matrix Proteolysis,45
Extracellular Matrix Remodeling,46
Extracellular Matrix Remodeling & Cell Migration,47
Extracellular Matrix Remodeling and Cell Adhesion,48
Extracellular Matrix Remodeling and Invasion,49
Extracellular Matrix Remodeling and Stiffness,50
Extracellular matrix degradation and invasion,51
Extracellular matrix remodeling and invasive phenotype,52
Extracellular matrix remodeling and vasculature assembly,53
Ferroptosis Suppression and Redox Defense,54
G-Protein-Coupled Receptor & Neuroendocrine Signaling,55
GABAergic Neuron-to-Glioma Synaptic Communication,56
GABAergic Synaptic Tumor Promotion,57
GABAergic inhibitory neurotransmission,58
GFAP Isoform-dependent Malignancy,59
GTPase Activation and Cytoskeletal Remodeling,60
Ganglioside and Glycosylation-based Signaling,61
Gap junction communication and chemoresistance,62
Glioma Stem Cell Maintenance,63
Glioma Stem Cell Maintenance and Self-Renewal,64
Glioma Stem Cell Maintenance and Stemness,65
Glioma Stem Cell Self-Renewal and Differentiation,66
Glioma stem cell self-renewal and maintenance,67
Glutamate-calcium excitatory signaling,68
Growth Factor Receptor Signaling,69
Growth Factor Receptor Signaling and Proliferation,70
Growth Factor and Receptor Signaling,71
Growth factor receptor signaling networks,72
Heparan Sulfate Proteoglycan Signaling,73
Histamine Receptor Signaling,74
Hypoxia Adaptation and Response,75
Hypoxia Response and Metabolic Adaptation,76
Hypoxia-Responsive Transcription,77
IL-6-Mediated Immunosuppression,78
IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,79
Immune Checkpoint Signaling,80
Immune Checkpoint and T Cell Suppression,81
Immune Evasion Through Glycosylation,82
Immune Evasion and Checkpoint Activation,83
Immune Evasion and Checkpoint Regulation,84
Immune Evasion and T-Cell Exhaustion,85
Immune Microenvironment Modulation,86
Immune Modulation and Inflammatory Signaling,87
Immune cell infiltration and M2 macrophage polarization,88
Inflammatory Lipid Mediator Signaling,89
Innate Immune Pattern Recognition,90
Integrin-Mediated Cell Invasion,91
Integrin-mediated Migration and EMT,92
Integrin-mediated cell adhesion and migration,93
Ion Channel & Electrolyte Homeostasis Dysregulation,94
Ion Channel Dysregulation and Excitotoxicity,95
Ion Channel-Mediated Cell Motility,96
Ion Channel-Mediated Cellular Signaling,97
Ion homeostasis and osmotic cell volume regulation,98
Lin28-let-7 axis regulating stemness and differentiation,99
Lipid Metabolism and Signaling,100
Lipid Metabolism and Sphingolipid Remodeling,101
Lipid metabolism and myelin-derived nutrient scavenging,102
Long Non-Coding RNA Regulatory Networks,103
Long non-coding RNA and RNA processing,104
Long non-coding RNA regulation of GBM processes,105
MET-Driven Stemness and Invasiveness,106
Macrophage/Microglia Reprogramming,107
Mesenchymal Differentiation and Epithelial-Mesenchymal Transition,108
Mesenchymal Transition and Invasion Program,109
Metabolic Adaptation and Nutrient Sensing,110
Metabolic Adaptation and Nutrient Uptake,111
Metabolic Reprogramming & Warburg Effect Activation,112
Metabolic Reprogramming and Energy Homeostasis,113
Metabolic Reprogramming and Lipid Synthesis,114
Metabolic Reprogramming and Redox Homeostasis,115
Metabolic Reprogramming for Proliferation,116
Metabolic reprogramming and hypoxia adaptation,117
Mitochondrial Dynamics and Cellular Metabolism,118
Motile Cilia-Axoneme Assembly Dysregulation,119
N-cadherin-dependent Context-specific Migration,120
Neural Guidance Cues and Developmental Plasticity,121
Neural-like Developmental Signaling,122
Neurofibromatosis and growth factor signaling,123
Neuron-glioma synaptic plasticity,124
Neuronal activity-sensing signaling cascade,125
Neuronal differentiation transcription factor cascade,126
Neuropeptide and Neurosecretion Pathways,127
Neurotransmitter Signaling and Synaptic Communication,128
Notch Signaling and Stem Cell Maintenance,129
Notch signaling and neural stem cell maintenance,130
Oligodendrocyte Lineage Progenitor Identity,131
Oligodendrocyte differentiation and myelin formation,132
PI3K/AKT Signaling Modulation,133
Pericyte recruitment and vascular stability,134
Pro-Inflammatory Cytokine Signaling,135
Proteolytic Processing and Proteasomal Activity,136
RNA Binding and Post-transcriptional Regulation,137
RNA-Binding and Post-Transcriptional Control,138
RTK/MAPK Signaling Inhibition and Feedback,139
Receptor Tyrosine Kinase Signaling,140
Retinoic Acid & MAPK-CaMKII Signaling Integration,141
Scavenger receptor and pattern recognition signaling,142
Signal Transduction Modulation and cAMP/Calcium Signaling,143
Signaling Pathway Integration and Crosstalk,144
Spatial Gene Expression Heterogeneity,145
Stemness Maintenance and Self-Renewal,146
Synaptic Adhesion and Neuronal Communication,147
Synaptic Development and Adhesion,148
Synaptic Plasticity & Dendritic Maturation,149
Synaptic adhesion and neuronal crosstalk,150
Synaptic proteins and cytoskeletal dynamics,151
Terminal Neuronal Differentiation Blockade,152
Tetraspanin-Mediated Cell Adhesion,153
Thrombospondin-mediated synaptogenesis and immune regulation,154
Transcriptional Co-regulator Activity,155
Transcriptional Control of Neural Differentiation,156
Transcriptional Master Regulation,157
Transcriptional Regulation of Differentiation,158
Transcriptional Repression of Neural Differentiation,159
Transcriptional and Epigenetic Plasticity Control,160
Tryptophan-Pathway Immune Evasion,161
Tumor Microenvironment Immune Regulation,162
Tumor-Associated Macrophage Polarization,163
Tumor-Suppressive Chromatin Remodeling,164
Tumor-associated astrocyte and glial cell reprogramming,165
Tumor-associated macrophage polarization and immune suppression,166
VEGFA-Driven Tumor Angiogenesis,167
Vascular Growth Factor Signaling & Angiogenesis,168
Wnt/β-Catenin Self-Renewal Signaling,169
Wnt/β-catenin Pathway Activation,170
Wnt/β-catenin pathway and stemness maintenance,171
mRNA-Based Mesenchymal Signaling,172
